scenario,scenario_display,num_new,messages,reps,babo_peak_mps,babo_median_mps,liqui_peak_mps,liqui_median_mps,babo_metric,liqui_metric,speedup
normal,Normal,1000,1993,10,11.2652,11.2308,8.8381,8.7173,11.2652,8.8381,1.2746178477274526
normal,Normal,5000,9983,10,17.4783,15.0064,9.1538,8.305,17.4783,9.1538,1.9094037448928314
normal,Normal,10000,19957,10,25.6503,25.185,12.3957,11.2444,25.6503,12.3957,2.069290157070597
normal,Normal,20000,39878,10,28.9908,27.9347,11.7956,11.638,28.9908,11.7956,2.457763911967174
normal,Normal,50000,99955,10,32.5582,32.0651,19.8128,19.5733,32.5582,19.8128,1.6432912056852136
normal,Normal,100000,199833,10,32.6596,32.3553,18.0141,17.488,32.6596,18.0141,1.8130020372930093
normal,Normal,200000,399176,10,36.3206,35.8339,15.5419,15.3033,36.3206,15.5419,2.336947220095355
normal,Normal,500000,998097,10,20.2258,19.8293,8.3918,8.2558,20.2258,8.3918,2.4101861340832715
normal,Normal,1000000,1996097,10,31.8928,31.0897,13.5201,13.3489,31.8928,13.5201,2.3589174636282277
normal,Normal,2000000,3992943,10,23.7927,23.3742,7.3885,7.3172,23.7927,7.3885,3.220234147661907
swing25,Swing-25,1000,1993,10,28.1199,27.9719,24.5292,24.3792,28.1199,24.5292,1.1463847169903625
swing25,Swing-25,5000,9983,10,37.1577,35.4164,14.5067,14.0309,37.1577,14.5067,2.561416448951174
swing25,Swing-25,10000,19957,10,36.7025,34.8924,15.3093,14.7366,36.7025,15.3093,2.397398966641192
swing25,Swing-25,20000,39878,10,31.9301,31.0435,11.9806,11.8696,31.9301,11.9806,2.66515032636095
swing25,Swing-25,50000,99955,10,32.1205,31.7469,19.3533,19.1027,32.1205,19.3533,1.6596911121100792
swing25,Swing-25,100000,199833,10,31.5163,31.0545,18.1538,17.7941,31.5163,18.1538,1.7360717866231863
swing25,Swing-25,200000,399176,10,29.2976,28.8384,16.4662,15.9524,29.2976,16.4662,1.779256902017466
swing25,Swing-25,500000,998097,10,16.8801,16.6609,7.3575,7.2875,16.8801,7.3575,2.2942711518858308
swing25,Swing-25,1000000,1996097,10,34.1763,33.7406,14.231,14.0867,34.1763,14.231,2.4015388939638815
swing25,Swing-25,2000000,3992943,10,23.6175,23.4321,10.575,10.5139,23.6175,10.575,2.2333333333333334
flash_crash_40,Swing-40,1000,1993,10,28.4544,27.9719,25.2678,25.0954,28.4544,25.2678,1.1261130767221523
flash_crash_40,Swing-40,5000,9983,10,37.3081,35.0434,14.2733,13.9655,37.3081,14.2733,2.6138384255918394
flash_crash_40,Swing-40,10000,19957,10,38.0617,36.2388,14.9523,14.6085,38.0617,14.9523,2.545541488600416
flash_crash_40,Swing-40,20000,39878,10,32.0145,31.4083,11.8363,11.691,32.0145,11.8363,2.704772606304335
flash_crash_40,Swing-40,50000,99955,10,31.2967,30.6207,19.4842,19.1975,31.2967,19.4842,1.6062604571909547
flash_crash_40,Swing-40,100000,199833,10,32.2519,31.2819,17.9249,17.5674,32.2519,17.9249,1.7992792149468058
flash_crash_40,Swing-40,200000,399176,10,29.5305,28.4969,16.0945,15.7379,29.5305,16.0945,1.8348193482245487
flash_crash_40,Swing-40,500000,998097,10,16.5443,16.2971,7.2503,7.2017,16.5443,7.2503,2.2818779912555343
flash_crash_40,Swing-40,1000000,1996097,10,35.7308,35.4227,14.5901,14.4565,35.7308,14.5901,2.4489756752866674
flash_crash_40,Swing-40,2000000,3992943,10,24.5767,24.3506,10.9008,10.809,24.5767,10.9008,2.254577645677381
flash_crash_60,Flash-crash-60,1000,1993,10,28.2195,27.939,24.7323,24.5039,28.2195,24.7323,1.1409978044904843
flash_crash_60,Flash-crash-60,5000,9983,10,35.0846,32.5444,14.3571,13.8814,35.0846,14.3571,2.443710777246101
flash_crash_60,Flash-crash-60,10000,19957,10,38.1466,37.5721,15.5116,15.1687,38.1466,15.5116,2.459230511359241
flash_crash_60,Flash-crash-60,20000,39878,10,32.9106,32.2366,12.5455,12.3498,32.9106,12.5455,2.6232991909449606
flash_crash_60,Flash-crash-60,50000,99955,10,29.1117,28.0572,22.8752,22.2433,29.1117,22.8752,1.2726314961180667
flash_crash_60,Flash-crash-60,100000,199833,10,31.3439,31.0113,18.1735,17.9089,31.3439,18.1735,1.724703551874983
flash_crash_60,Flash-crash-60,200000,399176,10,28.6898,28.1266,16.218,15.7279,28.6898,16.218,1.7690097422616846
flash_crash_60,Flash-crash-60,500000,998097,10,16.736,16.4107,7.2822,7.17,16.736,7.2822,2.2982065859218372
flash_crash_60,Flash-crash-60,1000000,1996097,10,37.0403,36.5741,15.3629,15.1263,37.0403,15.3629,2.411022658482448
flash_crash_60,Flash-crash-60,2000000,3992943,10,25.6645,25.3501,11.2713,11.2004,25.6645,11.2713,2.276977810900251
