scenario,scenario_display,num_new,messages,reps,babo_peak_mps,babo_median_mps,liqui_peak_mps,liqui_median_mps,babo_metric,liqui_metric,speedup
normal,Normal,1000,1993,10,11.8974,11.8704,11.9381,11.8104,11.8974,11.9381,0.9965907472713412
normal,Normal,5000,9983,10,16.8041,16.4602,6.4005,6.2288,16.8041,6.4005,2.6254355128505584
normal,Normal,10000,19957,10,17.0626,16.7602,6.6763,6.5578,17.0626,6.6763,2.5556970178092655
normal,Normal,20000,39878,10,14.6739,14.5023,5.5112,5.4527,14.6739,5.5112,2.662559878066483
normal,Normal,50000,99955,10,15.3958,15.3122,8.8463,8.7993,15.3958,8.8463,1.7403660287351774
normal,Normal,100000,199833,10,15.1904,15.053,8.4226,8.307,15.1904,8.4226,1.8035286016194527
normal,Normal,200000,399176,10,18.7802,18.7238,6.9814,6.8736,18.7802,6.9814,2.6900335176325667
normal,Normal,500000,998097,10,9.5336,9.4414,2.9316,2.8634,9.5336,2.9316,3.2520125528721517
normal,Normal,1000000,1996097,10,17.0608,16.9281,5.6056,5.4193,17.0608,5.6056,3.043527900670758
normal,Normal,2000000,3992943,10,11.3608,11.1176,2.0815,2.0322,11.3608,2.0815,5.457987028585154
swing25,Swing-25,1000,1993,10,11.8909,11.635,11.9102,11.8196,11.8909,11.9102,0.9983795402260248
swing25,Swing-25,5000,9983,10,16.8047,16.2325,6.4518,6.2802,16.8047,6.4518,2.604652965064013
swing25,Swing-25,10000,19957,10,18.2807,18.0986,7.0849,7.0219,18.2807,7.0849,2.5802340188287767
swing25,Swing-25,20000,39878,10,15.0593,14.7021,5.5887,5.5419,15.0593,5.5887,2.694598028163974
swing25,Swing-25,50000,99955,10,15.5361,15.4014,9.1764,9.0437,15.5361,9.1764,1.6930495619197072
swing25,Swing-25,100000,199833,10,15.2346,15.0843,8.3422,8.3094,15.2346,8.3422,1.8262089137158064
swing25,Swing-25,200000,399176,10,14.3202,14.2473,7.4576,7.3136,14.3202,7.4576,1.920215618965887
swing25,Swing-25,500000,998097,10,8.0082,7.8925,3.0056,2.884,8.0082,3.0056,2.6644264040457815
swing25,Swing-25,1000000,1996097,10,18.6364,18.5154,6.0532,5.8955,18.6364,6.0532,3.078768254807374
swing25,Swing-25,2000000,3992943,10,11.754,11.6869,3.9764,3.8263,11.754,3.9764,2.9559400462730108
flash_crash_40,Swing-40,1000,1993,10,11.891,11.8562,11.9546,11.8456,11.891,11.9546,0.9946798721830927
flash_crash_40,Swing-40,5000,9983,10,16.483,15.2551,6.4468,6.1796,16.483,6.4468,2.5567723521747228
flash_crash_40,Swing-40,10000,19957,10,18.2268,17.9928,7.085,6.9227,18.2268,7.085,2.572589978828511
flash_crash_40,Swing-40,20000,39878,10,15.2916,15.1811,5.7221,5.6268,15.2916,5.7221,2.6723755264675555
flash_crash_40,Swing-40,50000,99955,10,15.3778,14.9952,9.3321,9.2349,15.3778,9.3321,1.6478391787486204
flash_crash_40,Swing-40,100000,199833,10,15.2977,15.0631,8.466,8.3932,15.2977,8.466,1.8069572407276167
flash_crash_40,Swing-40,200000,399176,10,14.1997,14.1546,7.5691,7.3809,14.1997,7.5691,1.8760090367414886
flash_crash_40,Swing-40,500000,998097,10,7.9419,7.8207,3.0246,2.6764,7.9419,3.0246,2.6257686966871656
flash_crash_40,Swing-40,1000000,1996097,10,19.4283,19.3102,6.1941,5.7262,19.4283,6.1941,3.1365815857025234
flash_crash_40,Swing-40,2000000,3992943,10,12.5233,12.4122,4.2645,4.1873,12.5233,4.2645,2.936639699847579
flash_crash_60,Flash-crash-60,1000,1993,10,11.9439,11.9095,11.7435,11.6398,11.9439,11.7435,1.0170647592285094
flash_crash_60,Flash-crash-60,5000,9983,10,16.035,15.7365,6.5072,6.4504,16.035,6.5072,2.4641935087287927
flash_crash_60,Flash-crash-60,10000,19957,10,19.0455,18.7984,7.4738,7.3851,19.0455,7.4738,2.5483020685595013
flash_crash_60,Flash-crash-60,20000,39878,10,15.6354,15.5299,5.898,5.8296,15.6354,5.898,2.6509664292980673
flash_crash_60,Flash-crash-60,50000,99955,10,12.7891,12.55,11.1341,10.9658,12.7891,11.1341,1.1486424587528403
flash_crash_60,Flash-crash-60,100000,199833,10,15.4587,15.3475,8.4746,8.4151,15.4587,8.4746,1.824121492459821
flash_crash_60,Flash-crash-60,200000,399176,10,14.1183,14.0597,7.6979,7.5764,14.1183,7.6979,1.8340456488133128
flash_crash_60,Flash-crash-60,500000,998097,10,8.0266,7.9867,3.0774,3.0262,8.0266,3.0774,2.6082407226879836
flash_crash_60,Flash-crash-60,1000000,1996097,10,20.6303,20.5862,6.987,6.9218,20.6303,6.987,2.9526692428796335
flash_crash_60,Flash-crash-60,2000000,3992943,10,13.2481,13.1721,4.4446,4.3816,13.2481,4.4446,2.98071817486388
