scenario,scenario_display,num_new,messages,reps,babo_peak_mps,babo_median_mps,liqui_peak_mps,liqui_median_mps,babo_metric,liqui_metric,speedup
normal,Normal,1000,1993,10,5.7818,5.7585,2.1444,2.1313,5.7818,2.1444,2.6962320462600258
normal,Normal,5000,9983,10,7.9218,7.7883,1.5964,1.5813,7.9218,1.5964,4.962290152843899
normal,Normal,10000,19957,10,8.159,8.0352,1.6332,1.5979,8.159,1.6332,4.995713935831497
normal,Normal,20000,39878,10,7.2355,7.1687,1.5042,1.4684,7.2355,1.5042,4.810198111953198
normal,Normal,50000,99955,10,7.3254,7.0704,1.849,1.735,7.3254,1.849,3.9618171984856683
normal,Normal,100000,199833,10,7.1095,6.995,1.7587,1.709,7.1095,1.7587,4.042474555069085
normal,Normal,200000,399176,10,8.8698,7.5934,1.5273,1.4876,8.8698,1.5273,5.8075034374386165
normal,Normal,500000,998097,10,4.8316,4.7749,1.0486,1.0332,4.8316,1.0486,4.6076673660118255
normal,Normal,1000000,1996097,10,8.1947,8.1237,1.3926,1.3764,8.1947,1.3926,5.884460720953611
normal,Normal,2000000,3992943,10,5.7116,5.638,0.9831,0.9564,5.7116,0.9831,5.8097853728003255
swing25,Swing-25,1000,1993,10,6.106,6.0578,2.1338,1.8416,6.106,2.1338,2.8615615334145654
swing25,Swing-25,5000,9983,10,7.3545,5.3217,1.5372,1.3122,7.3545,1.5372,4.7843481654957065
swing25,Swing-25,10000,19957,10,8.5086,8.3401,1.6182,1.5556,8.5086,1.6182,5.258064516129032
swing25,Swing-25,20000,39878,10,7.2449,7.1401,1.4734,1.3715,7.2449,1.4734,4.917130446586127
swing25,Swing-25,50000,99955,10,7.6818,7.527,1.9458,1.9126,7.6818,1.9458,3.947887758248535
swing25,Swing-25,100000,199833,10,7.1775,7.0949,1.8202,1.7106,7.1775,1.8202,3.9432479947258545
swing25,Swing-25,200000,399176,10,6.9046,6.801,1.6159,1.5891,6.9046,1.6159,4.272912927780185
swing25,Swing-25,500000,998097,10,4.1499,3.8993,1.0008,0.9837,4.1499,1.0008,4.1465827338129495
swing25,Swing-25,1000000,1996097,10,8.9049,8.8508,1.4716,1.4598,8.9049,1.4716,6.051168795868442
swing25,Swing-25,2000000,3992943,10,6.109,6.0121,1.1988,0.9584,6.109,1.1988,5.095929262595929
flash_crash_40,Swing-40,1000,1993,10,5.8105,5.4979,2.1306,2.0928,5.8105,2.1306,2.727166056509904
flash_crash_40,Swing-40,5000,9983,10,7.9979,7.7059,1.5608,1.5444,7.9979,1.5608,5.124231163505894
flash_crash_40,Swing-40,10000,19957,10,8.6728,8.442,1.6729,1.6157,8.6728,1.6729,5.184290752585331
flash_crash_40,Swing-40,20000,39878,10,7.2586,7.1081,1.3525,1.3352,7.2586,1.3525,5.366802218114603
flash_crash_40,Swing-40,50000,99955,10,7.3977,6.986,1.956,1.8928,7.3977,1.956,3.782055214723927
flash_crash_40,Swing-40,100000,199833,10,7.1853,7.0348,1.8143,1.6932,7.1853,1.8143,3.960370390784324
flash_crash_40,Swing-40,200000,399176,10,6.8858,6.8314,1.6491,1.6136,6.8858,1.6491,4.1754896610272265
flash_crash_40,Swing-40,500000,998097,10,4.0488,4.0031,0.9627,0.9306,4.0488,0.9627,4.205671548769087
flash_crash_40,Swing-40,1000000,1996097,10,9.2699,9.2421,1.4596,1.3778,9.2699,1.4596,6.350986571663469
flash_crash_40,Swing-40,2000000,3992943,10,6.1569,5.7653,1.1594,1.1367,6.1569,1.1594,5.310419182335691
flash_crash_60,Flash-crash-60,1000,1993,10,5.7953,5.6992,2.1616,2.137,5.7953,2.1616,2.681023316062176
flash_crash_60,Flash-crash-60,5000,9983,10,7.6988,7.4662,1.594,1.5605,7.6988,1.594,4.829861982434128
flash_crash_60,Flash-crash-60,10000,19957,10,9.0381,8.8919,1.6429,1.6109,9.0381,1.6429,5.501308661513177
flash_crash_60,Flash-crash-60,20000,39878,10,7.7298,7.5805,1.4942,1.4373,7.7298,1.4942,5.173203051800295
flash_crash_60,Flash-crash-60,50000,99955,10,6.2928,6.0289,2.134,2.0921,6.2928,2.134,2.9488284910965326
flash_crash_60,Flash-crash-60,100000,199833,10,7.308,7.1778,1.8506,1.7909,7.308,1.8506,3.9489895169134335
flash_crash_60,Flash-crash-60,200000,399176,10,6.8247,6.7449,1.6722,1.6544,6.8247,1.6722,4.081270182992466
flash_crash_60,Flash-crash-60,500000,998097,10,4.0471,3.9503,0.8905,0.8488,4.0471,0.8905,4.544750140370579
flash_crash_60,Flash-crash-60,1000000,1996097,10,9.7812,9.735,1.5014,1.4242,9.7812,1.5014,6.514719595044625
flash_crash_60,Flash-crash-60,2000000,3992943,10,6.4221,6.0201,1.1159,1.0449,6.4221,1.1159,5.755085581145265
