scenario,scenario_display,num_new,messages,reps,babo_peak_mps,babo_median_mps,liqui_peak_mps,liqui_median_mps,babo_metric,liqui_metric,speedup
normal,Normal,1000,1993,10,9.3788,9.3393,6.9979,6.9034,9.3788,6.9979,1.3402306406207578
normal,Normal,5000,9983,10,11.1492,11.0701,4.5672,4.4393,11.1492,4.5672,2.4411455596426697
normal,Normal,10000,19957,10,11.8848,11.8271,4.6701,4.6147,11.8848,4.6701,2.544870559516927
normal,Normal,20000,39878,10,10.8018,10.7268,4.1834,4.1563,10.8018,4.1834,2.582062437251996
normal,Normal,50000,99955,10,11.2556,11.1243,5.9347,5.7964,11.2556,5.9347,1.8965743845518728
normal,Normal,100000,199833,10,10.9913,10.9132,5.6857,5.6279,10.9913,5.6857,1.933148073236365
normal,Normal,200000,399176,10,12.3515,12.3131,4.7843,4.7587,12.3515,4.7843,2.581673390046611
normal,Normal,500000,998097,10,8.3525,8.3114,2.9843,2.9665,8.3525,2.9843,2.79881379217907
normal,Normal,1000000,1996097,10,11.8068,11.7655,4.027,3.9798,11.8068,4.027,2.9319096101316116
normal,Normal,2000000,3992943,10,9.3179,9.2946,2.6134,2.6012,9.3179,2.6134,3.565432004285605
swing25,Swing-25,1000,1993,10,9.5863,9.5588,6.8606,6.7789,9.5863,6.8606,1.3972976124537213
swing25,Swing-25,5000,9983,10,11.3019,11.2459,4.5747,4.5101,11.3019,4.5747,2.4705226572234245
swing25,Swing-25,10000,19957,10,12.0528,11.9776,4.867,4.8034,12.0528,4.867,2.476433121019108
swing25,Swing-25,20000,39878,10,10.9318,10.8229,4.1957,4.1648,10.9318,4.1957,2.605477036013061
swing25,Swing-25,50000,99955,10,11.3686,11.2505,5.9549,5.889,11.3686,5.9549,1.9091168617441099
swing25,Swing-25,100000,199833,10,11.0286,10.9579,5.6636,5.6023,11.0286,5.6636,1.947277350095346
swing25,Swing-25,200000,399176,10,10.5215,10.47,5.0992,5.0717,10.5215,5.0992,2.0633628804518356
swing25,Swing-25,500000,998097,10,7.1904,7.1729,2.7898,2.7746,7.1904,2.7898,2.5773890601476808
swing25,Swing-25,1000000,1996097,10,12.3528,12.32,4.1634,4.1219,12.3528,4.1634,2.9669981265312004
swing25,Swing-25,2000000,3992943,10,9.5772,9.5608,3.3032,3.2784,9.5772,3.3032,2.899370307580528
flash_crash_40,Swing-40,1000,1993,10,9.5542,9.5268,6.7172,6.5863,9.5542,6.7172,1.4223485976299648
flash_crash_40,Swing-40,5000,9983,10,11.3379,11.1792,4.6064,4.4165,11.3379,4.6064,2.4613364015283086
flash_crash_40,Swing-40,10000,19957,10,12.3397,12.2241,4.7931,4.7628,12.3397,4.7931,2.57447163631053
flash_crash_40,Swing-40,20000,39878,10,11.0075,10.9084,4.2843,4.2694,11.0075,4.2843,2.5692645239595735
flash_crash_40,Swing-40,50000,99955,10,11.3495,11.0673,6.0776,6.0123,11.3495,6.0776,1.8674312228511254
flash_crash_40,Swing-40,100000,199833,10,11.0613,10.8258,5.6688,5.6045,11.0613,5.6688,1.9512595258255714
flash_crash_40,Swing-40,200000,399176,10,10.4116,10.3361,5.0978,5.0111,10.4116,5.0978,2.042371218957197
flash_crash_40,Swing-40,500000,998097,10,7.1655,7.1495,2.779,2.7372,7.1655,2.779,2.578445483987046
flash_crash_40,Swing-40,1000000,1996097,10,12.5869,12.5348,4.2539,4.2018,12.5869,4.2539,2.958908295916688
flash_crash_40,Swing-40,2000000,3992943,10,9.9973,9.98,3.3766,3.3624,9.9973,3.3766,2.9607593437185336
flash_crash_60,Flash-crash-60,1000,1993,10,9.6187,9.5725,6.7491,6.5711,9.6187,6.7491,1.425182616941518
flash_crash_60,Flash-crash-60,5000,9983,10,11.2472,11.1095,4.6094,4.4741,11.2472,4.6094,2.440057274265631
flash_crash_60,Flash-crash-60,10000,19957,10,12.5429,12.3741,4.9383,4.9072,12.5429,4.9383,2.5399226454447885
flash_crash_60,Flash-crash-60,20000,39878,10,11.2231,11.0951,4.3937,4.3721,11.2231,4.3937,2.554361927305005
flash_crash_60,Flash-crash-60,50000,99955,10,10.0472,9.8946,6.7249,6.6608,10.0472,6.7249,1.4940296509985278
flash_crash_60,Flash-crash-60,100000,199833,10,10.951,10.8995,5.7455,5.6754,10.951,5.7455,1.9060134017927075
flash_crash_60,Flash-crash-60,200000,399176,10,10.3969,10.3248,5.1539,5.0933,10.3969,5.1539,2.0172878790818602
flash_crash_60,Flash-crash-60,500000,998097,10,7.2667,7.2369,2.7674,2.7292,7.2667,2.7674,2.625822071258221
flash_crash_60,Flash-crash-60,1000000,1996097,10,12.8096,12.7934,4.4126,4.0513,12.8096,4.4126,2.902959706295608
flash_crash_60,Flash-crash-60,2000000,3992943,10,10.23,9.6163,3.4295,3.2123,10.23,3.4295,2.982942119842543
